Kalshi manage-only 2026-09-05T06:06:06-05:00
Selling YES KXHIGHPHIL-26SEP04-B88.5 count=2 @ 0 (stop_50pct)
Selling YES KXLOWTPHIL-26SEP04-B73.5 count=2 @ 0 (stop_50pct)
Selling YES KXHIGHCHI-26SEP04-B93.5 count=1 @ 0 (stop_50pct)
Manage hold KXHIGHDEN-26SEP05-B91.5 tomorrow_favorite entry=0.47 bid=0.43 sl=0.235 (hold_settlement)
Manage hold KXHIGHLAX-26SEP05-B79.5 tomorrow_favorite entry=0.43 bid=0.44 sl=0.215 (hold_settlement)
Manage hold KXHIGHPHIL-26SEP05-B82.5 tomorrow_favorite entry=0.43 bid=0.39 sl=0.215 (hold_settlement)
Manage hold KXHIGHTLV-26SEP05-B97.5 tomorrow_favorite entry=0.58 bid=0.71 sl=0.29 (hold_settlement)
Manage hold KXLOWTCHI-26SEP05-B72.5 tomorrow_favorite entry=0.35 bid=0.41 sl=0.175 (hold_settlement)
Manage hold KXLOWTDEN-26SEP05-B61.5 tomorrow_favorite entry=0.41 bid=0.23 sl=0.205 (hold_settlement)
Manage hold KXLOWTLAX-26SEP05-B65.5 tomorrow_favorite entry=0.61 bid=0.53 sl=0.305 (hold_settlement)
Manage hold KXLOWTPHIL-26SEP05-B69.5 tomorrow_favorite entry=0.33 bid=0.28 sl=0.165 (hold_settlement)
Manage hold KXHIGHDEN-26SEP05-B91.5 tomorrow_favorite entry=0.47 bid=0.43 sl=0.235 (hold_settlement)
Manage hold KXHIGHLAX-26SEP05-B79.5 tomorrow_favorite entry=0.43 bid=0.44 sl=0.215 (hold_settlement)
Manage hold KXHIGHPHIL-26SEP05-B84.5 tomorrow_favorite entry=0.44 bid=0.49 sl=0.22 (hold_settlement)
Manage hold KXHIGHTSFO-26SEP05-B69.5 tomorrow_favorite entry=0.35 bid=0.19 sl=0.175 (hold_settlement)
Manage hold KXHIGHTLV-26SEP05-B97.5 tomorrow_favorite entry=0.6 bid=0.71 sl=0.3 (hold_settlement)
Manage hold KXLOWTCHI-26SEP05-B72.5 tomorrow_favorite entry=0.35 bid=0.41 sl=0.175 (hold_settlement)
Manage hold KXLOWTDEN-26SEP05-B61.5 tomorrow_favorite entry=0.41 bid=0.23 sl=0.205 (hold_settlement)
Manage hold KXLOWTLAX-26SEP05-B65.5 tomorrow_favorite entry=0.61 bid=0.53 sl=0.305 (hold_settlement)
Manage hold KXLOWTPHIL-26SEP05-B69.5 tomorrow_favorite entry=0.33 bid=0.28 sl=0.165 (hold_settlement)
Manage hold KXHIGHDEN-26SEP05-B91.5 tomorrow_favorite entry=0.45 bid=0.43 sl=0.225 (hold_settlement)
Manage hold KXHIGHLAX-26SEP05-B79.5 tomorrow_favorite entry=0.43 bid=0.44 sl=0.215 (hold_settlement)
Manage hold KXHIGHPHIL-26SEP05-B84.5 tomorrow_favorite entry=0.46 bid=0.49 sl=0.23 (hold_settlement)
Manage hold KXHIGHTSFO-26SEP05-B69.5 tomorrow_favorite entry=0.33 bid=0.19 sl=0.165 (hold_settlement)
Manage hold KXHIGHTLV-26SEP05-B97.5 tomorrow_favorite entry=0.61 bid=0.71 sl=0.305 (hold_settlement)
Manage hold KXLOWTCHI-26SEP05-B72.5 tomorrow_favorite entry=0.36 bid=0.41 sl=0.18 (hold_settlement)
